timestamp,open,high,low,close,volume
2024-04-04,185.1,190.19,180.21,184.09,815634.830057
2024-04-05,184.06,185.17,167.96,174.39,1305034.874034
2024-04-06,174.39,180.0,173.56,178.68,711099.430197
2024-04-07,178.7,182.71,176.87,179.54,667851.372738
2024-04-08,179.53,184.67,175.35,180.67,992624.043406
2024-04-09,180.68,180.93,169.12,172.4,815502.911554
2024-04-10,172.38,175.52,162.21,173.31,1042049.179547
2024-04-11,173.32,176.4,170.08,172.36,838642.809621
2024-04-12,172.36,175.95,138.06,153.15,2499693.45456
2024-04-13,153.13,154.9,112.06,138.44,5195501.012512
2024-04-14,138.42,152.86,130.48,151.29,3322544.891932
2024-04-15,151.26,156.01,133.73,138.53,2487777.396902
2024-04-16,138.53,140.66,126.31,136.23,2269831.373264
2024-04-17,136.23,142.67,126.93,131.82,2339058.465011
2024-04-18,131.82,143.97,127.65,142.06,1938176.811682
2024-04-19,142.05,147.53,128.5,142.51,2640043.651604
2024-04-20,142.49,152.4,139.7,151.28,1091746.786078
2024-04-21,151.25,153.49,146.78,148.82,807151.657174
2024-04-22,148.81,158.49,146.69,156.95,1017079.887789
2024-04-23,156.95,160.0,153.04,154.77,992422.572891
2024-04-24,154.74,159.73,145.57,147.78,1242420.924691
2024-04-25,147.76,149.59,142.07,144.87,1004821.278045
2024-04-26,144.87,146.17,138.7,139.25,785973.450918
2024-04-27,139.25,143.04,132.43,141.31,887027.480929
2024-04-28,141.32,144.71,137.05,138.0,608930.902391
2024-04-29,138.0,138.95,133.31,137.77,1012623.944019
2024-04-30,137.78,139.76,121.25,126.74,1520655.926621
2024-05-01,126.74,135.93,118.47,134.61,2144973.031753
2024-05-02,134.65,140.93,128.27,137.58,1428068.416133
2024-05-03,137.57,145.0,135.87,143.68,1107478.165845
2024-05-04,143.69,149.16,142.24,146.05,882838.124926
2024-05-05,146.06,148.0,143.21,145.73,711398.662957
2024-05-06,145.73,156.87,145.38,152.85,1333987.641733
2024-05-07,152.84,159.24,147.75,148.05,1217818.734303
2024-05-08,148.04,149.96,140.0,142.15,937095.982008
2024-05-09,142.15,153.4,140.57,152.54,810028.559489
2024-05-10,152.54,155.83,144.36,146.04,936570.3556
2024-05-11,146.05,147.69,143.03,145.42,445325.654341
2024-05-12,145.42,147.75,142.3,143.42,355710.811234
2024-05-13,143.45,150.84,137.79,147.54,1009335.810128
2024-05-14,147.52,149.08,141.85,142.03,792860.829902
2024-05-15,142.02,158.96,141.24,158.48,1135032.783028
2024-05-16,158.47,164.76,156.61,159.36,1014290.57532
2024-05-17,159.36,172.06,159.34,169.45,999164.39563
2024-05-18,169.44,175.96,168.68,172.39,622935.079594
2024-05-19,172.4,175.47,166.09,169.93,703812.48341
2024-05-20,169.93,188.36,167.61,186.68,1188832.901803
2024-05-21,186.7,188.89,174.42,178.18,1321847.89511
2024-05-22,178.17,183.52,175.06,177.01,899275.939457
2024-05-23,177.01,181.06,165.02,176.2,1334390.957284
2024-05-24,176.16,176.16,162.45,167.69,1005440.226197
2024-05-25,167.69,170.56,165.85,168.37,441889.291577
2024-05-26,168.37,168.41,161.0,163.42,625648.974784
2024-05-27,163.43,172.28,163.32,170.14,597306.749478
2024-05-28,170.14,173.29,164.91,168.7,756423.521744
2024-05-29,168.71,173.91,167.18,168.31,646049.662696
2024-05-30,168.31,172.58,163.59,166.89,698659.408892
2024-05-31,166.9,170.95,163.8,165.67,586235.500512
2024-06-01,165.67,167.94,165.67,166.15,232460.582103
2024-06-02,166.14,167.11,161.38,163.16,412725.295688
2024-06-03,163.16,167.29,161.82,164.88,559680.816895
2024-06-04,164.88,171.88,164.3,171.75,504046.75917
2024-06-05,171.76,175.6,171.11,173.55,538100.650298
2024-06-06,173.55,174.35,167.6,170.17,353711.879486
2024-06-07,170.18,172.85,151.66,162.51,1272495.255584
2024-06-08,162.51,163.76,157.37,157.83,377763.35898
2024-06-09,157.83,163.03,156.54,162.1,275645.951385
2024-06-10,162.1,163.17,157.5,159.07,323258.717059
2024-06-11,159.07,159.75,145.17,149.29,1023758.519381
2024-06-12,149.3,161.81,145.42,155.24,893728.409994
2024-06-13,155.23,155.24,146.09,147.28,671817.206791
2024-06-14,147.31,149.0,139.41,143.06,719752.844148
2024-06-15,143.05,145.81,142.9,145.51,244378.678158
2024-06-16,145.51,151.34,143.06,151.29,273382.902267
2024-06-17,151.28,151.77,139.82,143.26,503686.529608
2024-06-18,143.27,143.77,127.22,137.39,1580659.140857
2024-06-19,137.4,141.91,134.43,135.63,738125.341503
2024-06-20,135.63,141.27,131.88,133.58,832678.439635
2024-06-21,133.57,135.39,128.73,134.59,761555.064056
2024-06-22,134.6,136.72,132.98,133.7,249270.505004
2024-06-23,133.69,135.09,128.21,128.68,297483.353135
2024-06-24,128.67,132.64,121.71,132.3,1270779.157053
2024-06-25,132.31,139.92,131.22,136.56,797998.836924
2024-06-26,136.57,140.41,134.84,136.81,470617.527702
2024-06-27,136.84,151.2,135.23,149.69,1076134.723998
2024-06-28,149.69,150.81,139.03,140.05,850777.742062
2024-06-29,140.04,143.2,139.7,140.29,308213.260497
2024-06-30,140.28,147.65,137.11,146.62,531703.567075
2024-07-01,146.62,149.37,145.87,146.68,608780.726428
2024-07-02,146.68,154.98,146.13,154.01,573621.664243
2024-07-03,154.0,154.49,138.84,140.83,879871.609718
2024-07-04,140.85,142.74,127.14,127.84,1370788.121874
2024-07-05,127.82,136.48,120.65,134.32,1867328.41636
2024-07-06,134.32,144.5,132.33,143.05,754111.131502
2024-07-07,143.05,143.35,131.21,131.64,684782.828061
2024-07-08,131.65,142.0,127.8,139.8,1201739.021552
2024-07-09,139.81,144.32,136.41,141.43,743811.893839
2024-07-10,141.46,146.19,138.6,142.01,557273.292825
2024-07-11,142.0,146.15,135.62,135.75,707416.574808
2024-07-12,135.75,140.57,133.84,139.47,490402.711928
2024-07-13,139.48,143.62,137.92,141.9,321475.921354
2024-07-14,141.88,148.53,141.88,147.65,687185.836757
2024-07-15,147.66,159.96,147.01,159.36,909035.160729
2024-07-16,159.37,162.51,152.49,160.62,913644.605455
2024-07-17,160.64,163.77,154.67,155.51,616468.663819
2024-07-18,155.53,161.63,155.17,159.21,555197.552799
2024-07-19,159.22,172.64,156.17,169.13,1208467.83843
2024-07-20,169.12,175.32,167.25,173.59,545976.358531
2024-07-21,173.6,185.18,170.32,184.48,887598.613123
2024-07-22,184.51,184.99,176.76,178.88,699221.33148
2024-07-23,178.89,180.54,170.49,173.03,1154045.937667
2024-07-24,173.02,182.48,171.0,178.06,848997.925878
2024-07-25,178.05,179.6,165.43,171.86,1458057.940501
2024-07-26,171.87,183.82,171.69,183.06,816709.002427
